Step 38, e:75, x:264, y:347, Plot(264,347)
Step 39, e:72, x:265, y:347, Plot(265,347)
Step 40, e:69, x:266, y:347, Plot(266,347)
Step 41, e:66, x:267, y:347, Plot(267,347)
Step 42, e:63, x:268, y:347, Plot(268,347)
Step 43, e:60, x:269, y:347, Plot(269,347)
Step 44, e:57, x:270, y:347, Plot(270,347)
Step 45, e:54, x:271, y:347, Plot(271,347)
Step 46, e:51, x:272, y:347, Plot(272,347)
Step 47, e:48, x:273, y:347, Plot(273,347)
Step 48, e:45, x:274, y:347, Plot(274,347)
Step 49, e:42, x:275, y:347, Plot(275,347)
Step 50, e:39, x:276, y:347, Plot(276,347)
Step 51, e:36, x:277, y:347, Plot(277,347)
Step 52, e:33, x:278, y:347, Plot(278,347)
Step 53, e:30, x:279, y:347, Plot(279,347)
Step 54, e:27, x:280, y:347, Plot(280,347)
Step 55, e:24, x:281, y:347, Plot(281,347)
Step 56, e:21, x:282, y:347, Plot(282,347)
Step 57, e:18, x:283, y:347, Plot(283,347)
Step 58, e:15, x:284, y:347, Plot(284,347)
Step 59, e:12, x:285, y:347, Plot(285,347)
Step 60, e:9, x:286, y:347, Plot(286,347)
Step 61, e:6, x:287, y:347, Plot(287,347)
Step 62, e:3, x:288, y:347, Plot(288,347)
Step 63, e:0, x:289, y:347, Plot(289,347)
Step 64, e:123, x:290, y:346, Plot(290,346)
Step 65, e:120, x:291, y:346, Plot(291,346)
Step 66, e:117, x:292, y:346, Plot(292,346)
Step 67, e:114, x:293, y:346, Plot(293,346)
Step 68, e:111, x:294, y:346, Plot(294,346)
Step 69, e:108, x:295, y:346, Plot(295,346)
Step 70, e:105, x:296, y:346, Plot(296,346)
Step 71, e:102, x:297, y:346, Plot(297,346)
Step 72, e:99, x:298, y:346, Plot(298,346)
Step 73, e:96, x:299, y:346, Plot(299,346)
Step 74, e:93, x:300, y:346, Plot(300,346)
Step 75, e:90, x:301, y:346, Plot(301,346)
Step 76, e:87, x:302, y:346, Plot(302,346)
Step 77, e:84, x:303, y:346, Plot(303,346)
Step 78, e:81, x:304, y:346, Plot(304,346)
Step 79, e:78, x:305, y:346, Plot(305,346)
Step 80, e:75, x:306, y:346, Plot(306,346)
Step 81, e:72, x:307, y:346, Plot(307,346)
Step 82, e:69, x:308, y:346, Plot(308,346)
Step 83, e:66, x:309, y:346, Plot(309,346)
Step 84, e:63, x:310, y:346, Plot(310,346)
Step 85, e:60, x:311, y:346, Plot(311,346)
Step 86, e:57, x:312, y:346, Plot(312,346)
Step 87, e:54, x:313, y:346, Plot(313,346)
Step 88, e:51, x:314, y:346, Plot(314,346)
Step 89, e:48, x:315, y:346, Plot(315,346)
Step 90, e:45, x:316, y:346, Plot(316,346)
Step 91, e:42, x:317, y:346, Plot(317,346)
Step 92, e:39, x:318, y:346, Plot(318,346)
Step 93, e:36, x:319, y:346, Plot(319,346)
Step 94, e:33, x:320, y:346, Plot(320,346)
Step 95, e:30, x:321, y:346, Plot(321,346)
Step 96, e:27, x:322, y:346, Plot(322,346)
Step 97, e:24, x:323, y:346, Plot(323,346)
Step 98, e:21, x:324, y:346, Plot(324,346)
Step 99, e:18, x:325, y:346, Plot(325,346)
Step 100, e:15, x:326, y:346, Plot(326,346)
Step 101, e:12, x:327, y:346, Plot(327,346)
Step 102, e:9, x:328, y:346, Plot(328,346)
Step 103, e:6, x:329, y:346, Plot(329,346)
